iter	RMSE
0	5887.617903
1	5361.147041
2	4947.117974
3	4599.081452
4	4272.45773
5	4012.379438
6	3787.547256
7	3558.141822
8	3370.064569
9	3209.871734
10	3071.856195
11	2957.439067
12	2854.502072
13	2785.7718
14	2703.993318
15	2644.552148
16	2583.990681
17	2523.26632
18	2472.033194
19	2434.33809
20	2401.60508
21	2377.643736
22	2352.504736
23	2327.917035
24	2307.477262
25	2285.261936
26	2271.527077
27	2256.741289
28	2244.784454
29	2232.028909
30	2216.263576
31	2199.726968
32	2188.327312
33	2182.597908
34	2171.485678
35	2162.848722
36	2156.92578
37	2146.915146
38	2141.437609
39	2140.224755
40	2135.006022
41	2129.57726
42	2121.219259
43	2114.288354
44	2108.315941
45	2101.280664
46	2095.213016
47	2091.837331
48	2085.450402
49	2079.556611
50	2076.773494
51	2075.535176
52	2071.926267
53	2068.228354
54	2062.083901
55	2058.826265
56	2056.148716
57	2049.558989
58	2044.949114
59	2040.101285
60	2036.204642
61	2032.313489
62	2026.337373
63	2022.467157
64	2019.327948
65	2017.397086
66	2015.23423
67	2014.166704
68	2011.404928
69	2009.294821
70	2007.402904
71	2004.863446
72	2002.86045
73	1999.021931
74	1995.507836
75	1991.268146
76	1989.672633
77	1988.348004
78	1984.496699
79	1980.137121
80	1977.161579
81	1974.393102
82	1970.481273
83	1970.435668
84	1968.22682
85	1968.066197
86	1965.171955
87	1963.571961
88	1960.67302
89	1958.074898
90	1955.053895
91	1955.015417
92	1952.41373
93	1948.362962
94	1945.147584
95	1944.36037
96	1943.264793
97	1941.543112
98	1937.390666
99	1936.344848
100	1934.886036
101	1933.42575
102	1929.541735
103	1929.144575
104	1929.110044
105	1927.649994
106	1927.203914
107	1924.216671
108	1924.181598
109	1922.983178
110	1922.699916
111	1919.881576
112	1919.848881
113	1919.816913
114	1919.416953
115	1919.385424
116	1919.352771
117	1919.320875
118	1918.847556
119	1918.509761
120	1918.479317
121	1917.929276
122	1917.900076
123	1917.871443
124	1917.843493
125	1915.086832
126	1913.444594
127	1913.417965
128	1911.265746
129	1911.239905
130	1909.138491
131	1906.47268
132	1904.901436
133	1904.877155
134	1900.292079
135	1895.993623
136	1892.663182
137	1890.562886
138	1887.946601
139	1886.613111
140	1883.309375
141	1881.659337
142	1881.494885
143	1879.786882
144	1878.284245
145	1876.12565
146	1874.457019
147	1871.568487
148	1869.520193
149	1867.604739
150	1866.127486
151	1864.739289
152	1862.545825
153	1861.643179
154	1860.011363
155	1858.771081
156	1857.313769
157	1856.011122
158	1854.327446
159	1851.422275
160	1849.957949
161	1849.030654
162	1848.255559
163	1847.532984
164	1847.352773
165	1847.249768
166	1844.80264
167	1844.729973
168	1841.520825
169	1839.934079
170	1837.960411
171	1837.894099
172	1835.676172
173	1834.257863
174	1832.903675
175	1832.247518
176	1832.155485
177	1830.963849
178	1828.491515
179	1827.580879
180	1825.025972
181	1823.084609
182	1821.718348
183	1819.139126
184	1816.478071
185	1814.621208
186	1813.586039
187	1812.208375
188	1810.391547
189	1807.766561
190	1805.83417
191	1804.124775
192	1802.823877
