iter	Passed	Remaining
0	2	2839
1	5	2794
2	7	2726
3	10	2709
4	12	2702
5	15	2675
6	17	2670
7	20	2659
8	22	2672
9	25	2664
10	27	2657
11	30	2666
12	32	2650
13	35	2651
14	37	2635
15	40	2635
16	42	2627
17	45	2618
18	47	2613
19	49	2602
20	52	2598
21	54	2595
22	57	2592
23	59	2588
24	62	2580
25	64	2589
26	67	2589
27	70	2598
28	72	2589
29	74	2585
30	77	2578
31	79	2570
32	82	2570
33	84	2565
34	87	2565
35	89	2558
36	91	2552
37	94	2554
38	96	2548
39	98	2518
40	100	2521
41	103	2514
42	105	2515
43	108	2508
44	110	2504
45	113	2504
46	115	2499
47	117	2497
48	120	2491
49	122	2488
50	124	2484
51	127	2477
52	129	2475
53	131	2471
54	134	2476
55	137	2472
56	139	2470
57	142	2467
58	144	2465
59	147	2462
60	149	2459
61	151	2456
62	154	2453
63	156	2448
64	158	2445
65	161	2443
66	163	2441
67	166	2437
68	168	2436
69	171	2436
70	173	2432
71	176	2430
72	178	2426
73	181	2424
74	183	2422
75	185	2419
76	188	2419
77	190	2416
78	193	2415
79	195	2412
80	198	2408
81	200	2405
82	203	2403
83	204	2385
84	206	2384
85	209	2379
86	211	2377
87	214	2377
88	216	2374
89	218	2370
90	221	2367
91	222	2351
92	224	2348
93	227	2345
94	229	2344
95	231	2340
96	234	2337
97	236	2336
98	239	2334
99	241	2332
100	243	2328
101	246	2325
102	248	2323
103	250	2311
104	251	2300
105	254	2299
106	256	2292
107	258	2291
108	260	2287
109	263	2284
110	265	2282
111	268	2280
112	270	2277
113	272	2273
114	274	2269
115	277	2267
116	279	2262
117	281	2258
118	283	2256
119	286	2252
120	288	2249
121	290	2246
122	292	2242
123	295	2239
124	297	2236
125	299	2234
126	302	2232
127	304	2228
128	306	2227
129	309	2223
130	311	2222
131	314	2220
132	316	2218
133	318	2215
134	321	2215
135	324	2214
136	326	2214
137	329	2212
138	331	2211
139	334	2207
140	336	2207
141	339	2205
142	341	2202
143	343	2199
144	346	2197
145	348	2196
146	351	2194
147	353	2192
148	356	2189
149	358	2187
150	360	2184
151	363	2182
152	366	2181
153	368	2178
154	370	2176
155	373	2174
156	375	2172
157	378	2170
158	380	2167
159	382	2165
160	385	2164
161	387	2161
162	390	2160
163	392	2157
164	395	2155
165	397	2151
166	399	2150
167	402	2147
168	404	2146
169	407	2145
170	410	2143
171	412	2141
172	415	2139
173	417	2139
174	420	2137
175	422	2135
176	425	2132
177	427	2130
178	430	2129
179	432	2126
180	435	2124
181	437	2122
182	440	2120
183	443	2122
184	445	2121
185	448	2120
186	451	2118
187	453	2117
188	456	2115
189	458	2113
190	461	2111
191	463	2109
192	466	2107
193	468	2104
194	471	2102
195	473	2100
196	476	2097
197	478	2096
198	481	2093
199	483	2090
200	485	2088
201	488	2085
202	490	2083
203	493	2081
204	495	2078
205	498	2076
206	500	2074
207	503	2072
208	505	2069
209	507	2067
210	510	2065
211	512	2062
212	514	2059
213	517	2057
214	520	2056
215	522	2054
216	525	2052
217	527	2049
218	529	2047
219	532	2045
220	534	2042
221	537	2041
222	540	2039
223	542	2037
224	545	2035
225	547	2032
226	550	2030
227	552	2028
228	554	2026
229	557	2023
